community_id,community_size,top_keywords,representative_papers,high_impact_papers
798,1,relaxation; reconstructing; objects; noisy; rays,paper_76713b988a0b,paper_76713b988a0b
799,1,rank; maximum; matchings; graph,paper_35d7a780ec50,paper_35d7a780ec50
800,1,patching; algorithms; random; asymmetric; travelling; salesman,paper_c0dbe283bb48,paper_c0dbe283bb48
801,1,duality; disjunctive; programming; vector; optimization,paper_d4a55de7d4f7,paper_d4a55de7d4f7
802,1,optimality; transient; markov; chains; linear; programming,paper_243694d9a48d,paper_243694d9a48d
803,1,parallel; branch; bound; algorithm; solving; large,paper_e3fc922c054d,paper_e3fc922c054d
804,1,formulation; problem,paper_cfbe6dd8b20d,paper_cfbe6dd8b20d
805,1,entropy; linear; programs,paper_c2b102342a7a,paper_c2b102342a7a
806,1,stochastic; line; knapsack; problems,paper_5f0fc0d298ab,paper_5f0fc0d298ab
807,1,gale; transforms; computational; geometry,paper_54af1c75fa7b,paper_54af1c75fa7b
808,1,characterization; stable; matchings; extreme; points; polytope,paper_84a993964811,paper_84a993964811
809,1,relaxation; algorithms; minimax; optimization; problems; resource,paper_ce8e8973e8c4,paper_ce8e8973e8c4
810,1,property; polyhedral; sets,paper_c5e8039c7bb7,paper_c5e8039c7bb7
811,1,four; problems; graphs; excused; minors,paper_1c6e0df76c67,paper_1c6e0df76c67
812,1,unconstrained; optimization; homogeneous; models,paper_bad66217cda3,paper_bad66217cda3
813,1,result; surrogate; duality; certain; integer; programming,paper_56f10e0be887,paper_56f10e0be887
814,1,note; quasi; newton; formulae; sparse; second,paper_14a4dd2dcb2a,paper_14a4dd2dcb2a
815,1,games; corresponding; sequencing; situations; ready; times,paper_182f532bc1f0,paper_182f532bc1f0
816,1,staircase; transportation; problems; superadditive; rewards; cumulative,paper_a5b13d8da84f,paper_a5b13d8da84f
817,1,distance; constrained; facility; location; problem; real,paper_d087470e49bf,paper_d087470e49bf
818,1,existence; characterization; efficient; decisions; respect; cones,paper_71d0f9c57b29,paper_71d0f9c57b29
819,1,worst; case; class; set; covering; heuristics,paper_2f2ec51d27ef,paper_2f2ec51d27ef
820,1,problems; equivalence; nonlinear; complementarity; least; element,paper_830f975a2452,paper_830f975a2452
821,1,weak; majorization; polyhedra,paper_fb3edeceb59d,paper_fb3edeceb59d
822,1,nonsingularity; symmetry; linear; normal; maps,paper_428c36563484,paper_428c36563484
823,1,polynomial; time; algorithm; computing; yolk; fixed,paper_3b6535828f65,paper_3b6535828f65
824,1,complexity; piecewise; linear; algorithm; approximating; roots,paper_406c0a0d3d26,paper_406c0a0d3d26
825,1,eliminating; extraneus; edges; greenberg; algorithm,paper_92618ff3202b,paper_92618ff3202b
826,1,generating; conjugate; directions; without; line; searches,paper_6c0a5d345609,paper_6c0a5d345609
827,1,lipschitz; constant; associated; lemke; closest; point,paper_1f88928fd38a,paper_1f88928fd38a
828,1,mathematical; programming; complementarity; fixed; point; problems,paper_af16090d0ce5,paper_af16090d0ce5
829,1,fully; copositive; matrices,paper_3b0b89481512,paper_3b0b89481512
830,1,convergence; iteration; sequence; primal; dual; interior,paper_dbb6b64590c2,paper_dbb6b64590c2
831,1,positive; semi; monotone; matrices,paper_23af10a033d6,paper_23af10a033d6
832,1,associated; maximization; problem; separable; games,paper_19a0cef17d28,paper_19a0cef17d28
833,1,lower; subdifferentiability; quadratic; functions,paper_574a0fff187e,paper_574a0fff187e
834,1,optimal; design; membrane; separation; process; signomial,paper_145b4b535fd2,paper_145b4b535fd2
835,1,successive; quadratic; programming; algorithm; global; superlinear,paper_c23afc7db7fe,paper_c23afc7db7fe
836,1,concave; extensions; nonlinear; maximization; problems,paper_6be24a707199,paper_6be24a707199
837,1,mixed; integer; programming; special; logic; constrained,paper_4a949da4848b,paper_4a949da4848b
838,1,degeneracy; infinite; horizon; optimization,paper_73334684cd00,paper_73334684cd00
839,1,note; frank; tardos; truncation; algorithm; crossing,paper_2e6ee3561701,paper_2e6ee3561701
840,1,upper; lower; second; order; directional; derivatives,paper_dc353f0cfa84,paper_dc353f0cfa84
841,1,optimization; polyhedron; determined; submodular; function; intersecting,paper_1910013df408,paper_1910013df408
842,1,additively; decomposed; quasiconvex; functions,paper_9e3a6108142b,paper_9e3a6108142b
843,1,unifying; geometric; solution; framework; complexity; variational,paper_f7a5af90489f,paper_f7a5af90489f
844,1,algorithm; solution; multi; state; dynamic; programming,paper_3a5e7208a312,paper_3a5e7208a312
845,1,partition; problem,paper_3ba011219283,paper_3ba011219283
846,1,convex; optimization; lagrange; multipliers,paper_86983d73515b,paper_86983d73515b
847,1,stochastic; value; solution; linear; programs; fixed,paper_1f3801491e73,paper_1f3801491e73
848,1,implicit; function; theorems; generalized; equations,paper_c8fe256261e9,paper_c8fe256261e9
849,1,contributions; theory; stochastic; programming,paper_bed0361d91e1,paper_bed0361d91e1
850,1,windy; postman; problem; eulerian; graphs,paper_df75ca058c33,paper_df75ca058c33
851,1,series; parallel; composition; greedy; linear; programming,paper_b629c8592c58,paper_b629c8592c58
852,1,inexact; subgradient; applications; stochastic; programming,paper_dc510e4d1b54,paper_dc510e4d1b54
853,1,exterior; point; algorithms; nearest; points; convex,paper_b353cd09b7e3,paper_b353cd09b7e3
854,1,axiomatic; statistical; models; their; use; multimodal,paper_bde677a9ee8c,paper_bde677a9ee8c
855,1,max; horn; sat; minimum; cut; problem,paper_572908fa7f73,paper_572908fa7f73
856,1,constraint; classification; mathematical; programming,paper_5cef2d4a0981,paper_5cef2d4a0981
857,1,relationship; between; integer; real; solutions; constrained,paper_4f185144bbcb,paper_4f185144bbcb
858,1,mathbf; chebyshev; estimation,paper_5262b4ff2f2c,paper_5262b4ff2f2c
859,1,efficient; cost; scaling; algorithm; assignment; problem,paper_2841470576f2,paper_2841470576f2
860,1,note; about; sparsity; exploiting; quasi; newton,paper_b26b5fbab064,paper_b26b5fbab064
861,1,normal; conical; algorithm; concave; minimization; polytopes,paper_3899146a32af,paper_3899146a32af
862,1,parametric; linear; complementarity; problem; involving; derivatives,paper_fa77cdd66e84,paper_fa77cdd66e84
863,1,polyhedra; related; lattice,paper_7205ddf44c30,paper_7205ddf44c30
864,1,dual; bin; packing; items; random; sizes,paper_712f9d13b30c,paper_712f9d13b30c
865,1,probabilistic; switching; algorithm; euclidean; tsp,paper_778cd97b5be5,paper_778cd97b5be5
866,1,decomposition; algorithms; locating; minimal; cuts; network,paper_4af322c46725,paper_4af322c46725
867,1,convex; hull; two; core; capacitated; network,paper_1105d15a8bd8,paper_1105d15a8bd8
868,1,min; solving; combinatorial; problems; combined; max,paper_130d013117db,paper_130d013117db
869,1,parallel; quasi; newton; unconstrained; optimization,paper_3bf412094e17,paper_3bf412094e17
870,1,lifting; procedure; asymmetric; traveling; salesman; polytope,paper_03d2b82d33bf,paper_03d2b82d33bf
871,1,globally; quadratically; convergent; affine; scaling; linear,paper_21539a0d3eb6,paper_21539a0d3eb6
872,1,principal; pivoting; revisited,paper_e6ab1e6dcc73,paper_e6ab1e6dcc73
873,1,local; convergence; tensor; nonlinear; equations,paper_55ec50249988,paper_55ec50249988
874,1,decomposition; general; mathematical; programming,paper_be45b763af46,paper_be45b763af46
875,1,average; complexity; global; optimization; problems,paper_9455d46d62b2,paper_9455d46d62b2
876,1,balinski; tucker; simplex; tableaus; dimensions; degeneracy,paper_269bd32b63c3,paper_269bd32b63c3
877,1,class; onto; multifunctions,paper_73dc6a5a236f,paper_73dc6a5a236f
878,1,properties; representation; basis; null; space,paper_fdb785b88d5d,paper_fdb785b88d5d
879,1,characterization; weakly; efficient; points,paper_768c32c5250e,paper_768c32c5250e
880,1,euclidean; semi; matchings; random; samples,paper_a55632c27466,paper_a55632c27466
881,1,constructive; proof; permutation; generalization; sperner; lemma,paper_684d94c3b773,paper_684d94c3b773
882,1,combining; path; parametric; linear; programming; computation,paper_82e56b7d2755,paper_82e56b7d2755
883,1,note; continuity; solutions; parametric; linear; programs,paper_bae7548a0f84,paper_bae7548a0f84
884,1,numerical; investigation; rank; two; ellipsoid; algorithms,paper_939b60303dfe,paper_939b60303dfe
885,1,collinear; scaling; algorithms; deriving; extensions; quasi,paper_7e947fc907ca,paper_7e947fc907ca
886,1,note; exploiting; structure; when; slack; variables,paper_7fdc4a4c17e4,paper_7fdc4a4c17e4
887,1,varepsilon; optimality; criteria; convex; programming; problems,paper_a3eaa1e7e449,paper_a3eaa1e7e449
888,1,restricted; simplicial; decomposition; convex; constrained; problems,paper_e8d59916de51,paper_e8d59916de51
889,1,convex; algorithm; solving; programs; additional; concave,paper_b356ae4b406c,paper_b356ae4b406c
890,1,effort; associated; class; random; optimization,paper_89164f984414,paper_89164f984414
891,1,cutting; plane; algorithm; windy; postman; problem,paper_3f3f01c6cb60,paper_3f3f01c6cb60
892,1,column; generation; algorithm; nonlinear; programming,paper_edf257295c1f,paper_edf257295c1f
893,1,numerically; stable; optimization; homogeneous; function,paper_32dcac4d645f,paper_32dcac4d645f
894,1,fast; robust; unconstrained; optimization; requiring; minimum,paper_134592bac54a,paper_134592bac54a
895,1,remarks; generalized; newton,paper_7fe97be4cfcb,paper_7fe97be4cfcb
896,1,crashing; maximum; weight; complementary; basis,paper_52748dc5da61,paper_52748dc5da61
897,1,primal; dual; linear; programming,paper_93b658f52f1e,paper_93b658f52f1e
898,1,nonlinear; programming; stationary; equilibria; stochastic; games,paper_579f1d14a9dd,paper_579f1d14a9dd
899,1,solving; large; scale; matching; problems; combinatorially,paper_2856b27a8ddf,paper_2856b27a8ddf
900,1,rudiments; average; case; complexity; theory; piecewise,paper_94eeb1e01a58,paper_94eeb1e01a58
901,1,extremal; points; quasiconvex; functions,paper_1199932190f2,paper_1199932190f2
902,1,hamiltonian; path; symmetric; travelling; salesman; polytopes,paper_6d0145159e9a,paper_6d0145159e9a
903,1,efficiency; multiple; objective; optimization; problems,paper_f62b594f1682,paper_f62b594f1682
904,1,cut; search; integer; programming,paper_f879dec2722a,paper_f879dec2722a
905,1,bounded; knapsack; sharing,paper_7f9a6c2b090f,paper_7f9a6c2b090f
906,1,algorithms; non; convex; games,paper_32e009cac678,paper_32e009cac678
907,1,simplex; algorithm; piecewise; linear; programming; iii,paper_f6d5c5c3da5b,paper_f6d5c5c3da5b
908,1,solving; knapsack; sharing; problems; general; tradeoff,paper_86935e51a5cf,paper_86935e51a5cf
909,1,influence; curve; data; envelopment,paper_b2ce6808324e,paper_b2ce6808324e
910,1,greedy; algorithm; solving; class; convex; programming,paper_c057109cbc1e,paper_c057109cbc1e
911,1,homotopy; continuation; solving; normal; equations,paper_46e0757cf217,paper_46e0757cf217
912,1,efficient; group; cuts; integer; programs,paper_8d8a03323371,paper_8d8a03323371
913,1,geometric; structure; independence; systems,paper_56ccdf6c0297,paper_56ccdf6c0297
914,1,load; balancing; parallel; optimization; block; angular,paper_c5993d118c44,paper_c5993d118c44
915,1,factorized; quasi; newton; nonlinear; least; squares,paper_b03bda74e5f4,paper_b03bda74e5f4
916,1,some; computational; results; ahrens; finke; handling,paper_7baf6834c799,paper_7baf6834c799
917,1,simplex; pivots; set; packing; polytope,paper_53b42ce567e3,paper_53b42ce567e3
918,1,comments; note; frieze,paper_7dcfcb98f5c9,paper_7dcfcb98f5c9
919,1,some; problems; discrete; optimization,paper_f97f3dd59a6f,paper_f97f3dd59a6f
920,1,parallel; newton; nonlinear; complementarity; problem,paper_33221e6a0981,paper_33221e6a0981
921,1,almost; matrices; class,paper_24dbe33ddb88,paper_24dbe33ddb88
922,1,directional; derivative; estimates; optimal; value; function,paper_216512dec5e6,paper_216512dec5e6
923,1,determination; optimal; vertices; feasible; solutions; unimodular,paper_ffacef238362,paper_ffacef238362
924,1,optimal; sub; stopping; rules; multistart; algorithm,paper_9da69b72fe30,paper_9da69b72fe30
925,1,facets; lifting; procedures; set; covering; polytope,paper_991bd1786d36,paper_991bd1786d36
926,1,infeasible; exterior; point; simplex; algorithm; assignment,paper_cf2bf837280f,paper_cf2bf837280f
927,1,conjugate; direction; variable; storage,paper_fd642b874a58,paper_fd642b874a58
928,1,sup; gauss; newton; convex; composite; optimization,paper_96a0a21428be,paper_96a0a21428be
929,1,complexity; linear; complementarity; algorithm; lyapunov; function,paper_e3be8e813386,paper_e3be8e813386
930,1,optimal; conditioning; convex; class; rank; two,paper_fc64bc9f2fee,paper_fc64bc9f2fee
931,1,differential; equation; nonlinear; programming,paper_33158366e768,paper_33158366e768
932,1,lagrange; multiplier; rule; small; convex; valued,paper_ef62eb086c78,paper_ef62eb086c78
933,1,computational; utility; posynomial; geometric; programming; solution,paper_990a7d20882c,paper_990a7d20882c
934,1,constrained; min; max; algorithm; rival; models,paper_db5fc9fb0929,paper_db5fc9fb0929
935,1,homeomorphisms; triangulations; applications; computing; fixed; points,paper_6bbf137d1b2e,paper_6bbf137d1b2e
936,1,technique; speeding; solution; lagrangean; dual,paper_48f0c1d012ab,paper_48f0c1d012ab
937,1,programming; generalized; dynamic; integer,paper_4c49d1ff83c2,paper_4c49d1ff83c2
938,1,box; totally; dual; integral; polyhedra,paper_44dfa74f9ced,paper_44dfa74f9ced
939,1,asymptotic; exponential; penalty; trajectory; linear; programming,paper_aadcb76ad1f9,paper_aadcb76ad1f9
940,1,matrices,paper_3bc61ca886c8,paper_3bc61ca886c8
941,1,characterization; barrier; parameter; homogeneous; convex; cones,paper_0317e22d61c1,paper_0317e22d61c1
942,1,braess; paradox,paper_50899b5e216a,paper_50899b5e216a
943,1,interior; point; generalized; linear; fractional; programming,paper_81c551fd0a5b,paper_81c551fd0a5b
944,1,penalty; computing; points; that; satisfy; second,paper_9f2ffa0201b0,paper_9f2ffa0201b0
945,1,critical; index; algorithm; nearest; point; problems,paper_986576e64c63,paper_986576e64c63
946,1,technique; generating; quadratic; programming; test; problems,paper_5b4f6b22d9cd,paper_5b4f6b22d9cd
947,1,one; way; solve; parametric; quadratic; programming,paper_21d6876596cc,paper_21d6876596cc
948,1,shadow; prices; nonconvex; mathematical; programming,paper_f7b31a80d005,paper_f7b31a80d005
949,1,pairwise; reactive; sor; algorithm; quadratic; programming,paper_41ce902a8999,paper_41ce902a8999
950,1,model; generalized; linear; production; unifying,paper_8362f2c074ca,paper_8362f2c074ca
951,1,linearizations; linearly; constrained; nonconvex; nonsmooth; minimization,paper_cf3619713834,paper_cf3619713834
952,1,matroid; algorithms; linear; intersection; parity; problems,paper_a6299e90bfbb,paper_a6299e90bfbb
953,1,regular; systems,paper_135ab802bd89,paper_135ab802bd89
954,1,manne; chao; wilson; algorithm; computing; competitive,paper_0ad49886e6e7,paper_0ad49886e6e7
955,1,improved; integer; programming; bounds; intersections; corner,paper_bb5cf8b906d8,paper_bb5cf8b906d8
956,1,approximability; flow; shop; scheduling,paper_2c32de892b2f,paper_2c32de892b2f
957,1,odd; cycles; matrices; integrality; properties,paper_e8ecdd218e5d,paper_e8ecdd218e5d
958,1,note; characterization; matrices,paper_10f03d176136,paper_10f03d176136
959,1,network; problems; equivalence; some; generalized; pure,paper_ecbaf6c34752,paper_ecbaf6c34752
960,1,scheduling; uniform; machines; line; requires; nondecreasing,paper_2d1fb25cd165,paper_2d1fb25cd165
961,1,lower; bound; updates; primal; potential; reduction,paper_502f23f50d1a,paper_502f23f50d1a
962,1,cutting; plane; proofs; polynomial; space,paper_0a86609cc348,paper_0a86609cc348
963,1,blocking; antiblocking; sets,paper_e633a065fb82,paper_e633a065fb82
964,1,row; action; convex; programming,paper_193f31f5dff7,paper_193f31f5dff7
965,1,applications; general; convergence; theory; outer; approximation,paper_ab8b013f71c9,paper_ab8b013f71c9
966,1,polynomial; time; simplex; maximum; flow; problem,paper_33da49af01e5,paper_33da49af01e5
967,1,stage; two; linear; programming; uncertainty; integer,paper_3f4b98890cb5,paper_3f4b98890cb5
968,1,solution; two; ball; trust; region; subproblem,paper_475a65570e83,paper_475a65570e83
969,1,differentiability; respect; parameters; solutions; convex; programming,paper_45f63b2888b7,paper_45f63b2888b7
970,1,trust; region; algorithm; nonsmooth; optimization,paper_66082db2510e,paper_66082db2510e
971,1,least; index; resolution; degeneracy; quadratic; programming,paper_d62def5fde24,paper_d62def5fde24
972,1,convergence; interval; type; algorithms; generalized; fractional,paper_0586d5c36901,paper_0586d5c36901
973,1,nonlinear; programming; stationary; strategies; stochastic; games,paper_6993e4c43834,paper_6993e4c43834
974,1,fan; matrices; linear; complementarity; problems,paper_0881afe6e466,paper_0881afe6e466
975,1,steiner; problem; fagnano; result; sphere,paper_f5f807bfecf9,paper_f5f807bfecf9
976,1,class; gap; functions; variational; inequalities,paper_0413b819e42a,paper_0413b819e42a
977,1,continuity; lagrangian; multiplier; function; input; optimization,paper_2ef021fb2188,paper_2ef021fb2188
978,1,note; solvability; class; linear; complementarity; problems,paper_2c9c2c43d1d7,paper_2c9c2c43d1d7
979,1,example; ill; conditioned; nlp; problem,paper_3b22f77c63a5,paper_3b22f77c63a5
980,1,use; penumbras; blocking; antiblocking; theory,paper_dd6377937fed,paper_dd6377937fed
981,1,quasi; balanced; matrices,paper_7e31bfc6415f,paper_7e31bfc6415f
982,1,generalized; linear; complementarity; problem; algorithm; find,paper_c07791daa7c6,paper_c07791daa7c6
983,1,recognition; problems; special; classes; polynomials; variables,paper_8ea858a42f13,paper_8ea858a42f13
984,1,quasidifferentials; maximal; normal; operators,paper_60e28c17cf0e,paper_60e28c17cf0e
985,1,optimal; objective; function; approximation; separable; convex,paper_e2158087d509,paper_e2158087d509
986,1,problem; maximum; matching; arising; median; location,paper_4553769ad15b,paper_4553769ad15b
987,1,piecewise; convex; programs,paper_e5ffdac8f78c,paper_e5ffdac8f78c
988,1,numerical; class; continuous; concave; programming; problems,paper_9d4a4771f42e,paper_9d4a4771f42e
989,1,utilization; mathematical; programming; public; systems; application,paper_1c9bf450632a,paper_1c9bf450632a
990,1,upper; bound; expectation; simplicial; functions; multivariate,paper_5f4ec9cb9216,paper_5f4ec9cb9216
991,1,convergence; annealing; algorithm,paper_60ec38c7d5e3,paper_60ec38c7d5e3
992,1,short; communication; note; open; problem; linear,paper_d5ad1bb82f05,paper_d5ad1bb82f05
993,1,towards; equitable; distribution; proportional; equity; constraints,paper_573c892ff566,paper_573c892ff566
994,1,programming; multicriteria; integer; hybrid; dynamic; recursive,paper_cca51cd90f36,paper_cca51cd90f36
995,1,algebraic; optimization; fermat; weber; location; problem,paper_88568a365aa0,paper_88568a365aa0
996,1,interior; point; rank; updates; linear; programming,paper_42cf9f4fdd8a,paper_42cf9f4fdd8a
997,1,inverse; programming; theory; examples,paper_72db47a081f0,paper_72db47a081f0
998,1,theory; algorithms; linear; multiple; objective; programs,paper_b301027541db,paper_b301027541db
999,1,algorithm; optimization,paper_475b4a6b2f0d,paper_475b4a6b2f0d
1000,1,makespan; minimization; open; shops; polynomial; time,paper_f4359d558c0d,paper_f4359d558c0d
1001,1,descent; linear; programming; subproblems; nondifferentiable; convex,paper_eb03cbf09a62,paper_eb03cbf09a62
1002,1,about; minimax; theorem; matthies; strang; christiansen,paper_016fc9d40713,paper_016fc9d40713
1003,1,mathematical; programming; stochastic; systems; modeling; identification,paper_c8c8f1ba6c90,paper_c8c8f1ba6c90
1004,1,superfluous; matrices; linear; complementarity,paper_fc196cef72b8,paper_fc196cef72b8
1005,1,global; quadratic; algorithm; solving; system; mixed,paper_9c4a707cad7f,paper_9c4a707cad7f
1006,1,computational; results; algorithm; finding; all; vertices,paper_421b39425c86,paper_421b39425c86
1007,1,investigation; some; branch; bound; strategies; solution,paper_a8df5671ba5b,paper_a8df5671ba5b
1008,1,mathematical; programming; system; preference; compatibility; maximized,paper_db27fb5e0288,paper_db27fb5e0288
1009,1,cut; subgraph; polytope,paper_7174f0fd6572,paper_7174f0fd6572
1010,1,cost; approximating; all; roots; complex; polynomial,paper_3c87c3691ce4,paper_3c87c3691ce4
1011,1,function; filled; finding; global; minimizer; several,paper_28f63dbda484,paper_28f63dbda484
1012,1,linearization; mixed; integer; products,paper_71e99f64a528,paper_71e99f64a528
1013,1,pseudopower; expansion; solutions; generalized; equations; constrained,paper_c2152beb36a3,paper_c2152beb36a3
1014,1,optimization; simulation; nonsmooth; rigid; multibody; dynamics,paper_1aa7433701fc,paper_1aa7433701fc
1015,1,shortest; path; algorithms; knapsack; type; problems,paper_b371ae816489,paper_b371ae816489
1016,1,general; quadratic; optimization; problem,paper_60e3a2318840,paper_60e3a2318840
1017,1,primal; proximal; heuristic; applied; french; unit,paper_1f6f34a76dd5,paper_1f6f34a76dd5
1018,1,parallel; application; block; iterative; medical; imaging,paper_fcd032f9d2ed,paper_fcd032f9d2ed
1019,1,minimax; sharing,paper_501d6d375155,paper_501d6d375155
1020,1,marginal; values; mixed; integer; linear; programming,paper_2b91fbcfb672,paper_2b91fbcfb672
1021,1,note; stability; convex; programs; limiting; lagrangians,paper_6e01cda3957e,paper_6e01cda3957e
1022,1,theorem; alternative,paper_35c5a140948a,paper_35c5a140948a
1023,1,comparative; computer; results; complementary; pivot; algorithm,paper_4674693c2fda,paper_4674693c2fda
1024,1,minquantile; maxcovering; optimisation,paper_5c59446fdcbd,paper_5c59446fdcbd
1025,1,general; cone; decomposition; theory; efficiency,paper_ea3ba7ad5941,paper_ea3ba7ad5941
1026,1,dual; primal; degeneracy,paper_05ae8daf3038,paper_05ae8daf3038
1027,1,kappa; quadratically; convergent; mathrm; sqrt; iteration,paper_b3e5d8980685,paper_b3e5d8980685
1028,1,numerical; comparisons; nonlinear; programming; algorithms; serial,paper_7b09e2c1c19a,paper_7b09e2c1c19a
1029,1,complementary; variant; lemke; linear; problem,paper_9e79fd8e0cc3,paper_9e79fd8e0cc3
1030,1,deciding; uniqueness; norm; maximization,paper_90468e707a1f,paper_90468e707a1f
1031,1,successive; quadratic; programming; class; constrained; nonsmooth,paper_80e8818e99bb,paper_80e8818e99bb
1032,1,direct; active; set; algorithm; large; sparse,paper_64662b7b5b1d,paper_64662b7b5b1d
1033,1,construction; parametric; programming,paper_289a219eb999,paper_289a219eb999
1034,1,global; optimization; molecular; replacement; problem; ray,paper_05d576a4db4a,paper_05d576a4db4a
1035,1,example; nonregular; semimonotone; matrix,paper_70777ff51159,paper_70777ff51159
1036,1,refinement; bounds; heuristic; algorithms; traveling; salesman,paper_ca3cae38f916,paper_ca3cae38f916
1037,1,extension; simplex; algorithm; semi; infinite; linear,paper_3fde27206147,paper_3fde27206147
1038,1,solving; large; scale; minimax; problems; primal,paper_18f45d0a8e1e,paper_18f45d0a8e1e
1039,1,rays; simplicial; cones,paper_b9ebd638236f,paper_b9ebd638236f
1040,1,successive; affine; reduction; nonlinear; minimization,paper_b96cb69716ad,paper_b96cb69716ad
1041,1,quadratic; termination; properties; davidon; variable; metric,paper_2f5038974e51,paper_2f5038974e51
1042,1,zero; pivot; phenomenon; transportation; assignment; problems,paper_b603f164057c,paper_b603f164057c
1043,1,geometric; programming; van; der; waerden; conjecture,paper_322870d323a5,paper_322870d323a5
1044,1,elimination; bounds; optimization; problems; transforming; variables,paper_b315a08286e2,paper_b315a08286e2
1045,1,algorithms; generalized; network; flows,paper_96a1d214e2ce,paper_96a1d214e2ce
1046,1,function; differential; properties; support; epsilon; subdifferential,paper_8d38700a62c9,paper_8d38700a62c9
1047,1,example; stability; minima; sequence; functions; homogenization,paper_13b6e6085683,paper_13b6e6085683
1048,1,economic; interpretation; stochastic; programs,paper_39cbb858c182,paper_39cbb858c182
1049,1,combinatorial; interior; point; network; flow; problems,paper_aedb02afae85,paper_aedb02afae85
1050,1,computation; general; equilibrium; public; goods; economy,paper_085cef80ea40,paper_085cef80ea40
1051,1,metrics; undirected; cuts,paper_d143afdebe63,paper_d143afdebe63
1052,1,accelerated; convergence; powell; hestenes; multiplier,paper_74783d045172,paper_74783d045172
1053,1,nonlinear; programming; very; large; hydroelectric; system,paper_cbbc7cdefbd9,paper_cbbc7cdefbd9
1054,1,bifurcation; nonlinear; parametric; programming; problem,paper_0c31df7c6608,paper_0c31df7c6608
1055,1,generalized; inverse; asymptotic; linear; programming,paper_3337d7a87326,paper_3337d7a87326
1056,1,hyperbolic; programming; query; optimization; information; retrieval,paper_6b49531c1983,paper_6b49531c1983
1057,1,algorithm; maximizing; entropy; subject; simple; bounds,paper_49259d80c26f,paper_49259d80c26f
1058,1,discrete; optimization; multivariable; boolean; lattice,paper_20e429fb56c0,paper_20e429fb56c0
1059,1,some; continuous; functions; related; corner; polyhedra,paper_83ca94a9ae04,paper_83ca94a9ae04
1060,1,computational; graph; partitioning,paper_c553525799f5,paper_c553525799f5
1061,1,approximation; algorithms; two; machine; flow; shop,paper_f1e47f8ef06a,paper_f1e47f8ef06a
1062,1,hybrid; computation; mathematical; programming,paper_c0632fd66847,paper_c0632fd66847
1063,1,better; heuristics; steiner; minimum; trees,paper_64b53d2b6154,paper_64b53d2b6154
1064,1,application; mathematical; programming; oil; gas; field,paper_3f63ec1d7126,paper_3f63ec1d7126
1065,1,duality; minimax; results; quasi; saddle; functions,paper_961c988c294f,paper_961c988c294f
1066,1,degeneracy; fixed; cost; transportation; problems,paper_219c4351546a,paper_219c4351546a
1067,1,problems; pseudo; duality; mathematical; programming; unconstrained,paper_33de85c37655,paper_33de85c37655
1068,1,sequencing; jobs; that; require; common; resources,paper_d2393a702f92,paper_d2393a702f92
1069,1,solution; linear; least; squares; abs; algorithm,paper_e8a35c976988,paper_e8a35c976988
1070,1,generation; all; integer; points; given; sets,paper_04552060ef51,paper_04552060ef51
1071,1,solving; multiple; criteria; problems; interactive; decomposition,paper_b49372f5be4b,paper_b49372f5be4b
1072,1,ratios; affine; functions,paper_9e29139f15b4,paper_9e29139f15b4
1073,1,modifying; bfgs; update; column; scaling; technique,paper_5cd9db90e899,paper_5cd9db90e899
1074,1,computation; weighted; analytic; centers; dual; ellipsoids,paper_48657584760a,paper_48657584760a
1075,1,testing; large; scale; network; optimization; program,paper_93409c0e3a76,paper_93409c0e3a76
1076,1,relaxation; monotropic; programs,paper_2d18a693bc70,paper_2d18a693bc70
1077,1,convergence; cross; decomposition,paper_a1aeffc4af74,paper_a1aeffc4af74
1078,1,convergence; class; algorithms; linearly; independent; search,paper_ab29b63f8682,paper_ab29b63f8682
1079,1,multivalued; convexity; optimization; unified; inequality; equality,paper_e77646d90c9a,paper_e77646d90c9a
1080,1,finite; convergence; constraint; identification; subgradient; projection,paper_8976fddb49b4,paper_8976fddb49b4
1081,1,some; comments; wolfe; away; step,paper_38c2e757e2d8,paper_38c2e757e2d8
1082,1,dines; fourier; motzkin; quantifier; elimination; application,paper_b04001b59057,paper_b04001b59057
1083,1,solving; mixed; integer; nonlinear; programs; outer,paper_6e43efe915ed,paper_6e43efe915ed
1084,1,matroid; solving; linear; parity; problem; sequence,paper_b38ca58a5b1e,paper_b38ca58a5b1e
1085,1,fixed; point; theorems; discontinuous; mapping,paper_37844c9d58e2,paper_37844c9d58e2
1086,1,lattice; basis; reduction; improved; practical; algorithms,paper_9c5301db568e,paper_9c5301db568e
1087,1,probabilistic; generalised; assignment; problem,paper_06cd7cc9fd5b,paper_06cd7cc9fd5b
1088,1,correlation; polytopes; their; geometry; complexity,paper_eedd9f5ae3c2,paper_eedd9f5ae3c2
1089,1,big; mathcal; affine; scaling; algorithm,paper_f0bb5e5c6c10,paper_f0bb5e5c6c10
1090,1,ternary; problems,paper_0ad799ba8fc6,paper_0ad799ba8fc6
1091,1,approximate; cutting; planes; nonlinear; programming,paper_74674a9a0155,paper_74674a9a0155
1092,1,matrix; problem; complete,paper_5ec24e4376a8,paper_5ec24e4376a8
1093,1,ellipsoids; that; contain; all; solutions; positive,paper_5d6a57851ad6,paper_5d6a57851ad6
1094,1,constraint; sets; infinite; linear; programs; ordered,paper_1a03533b7ec4,paper_1a03533b7ec4
